STRATEGY_CD,MODEL_ID,PRIMARY_IND
FSHN8LOW,CWOS200,Y
FSHN8LOW,CWOS300,N
FSHN8LOW,CWOS400,N
FSHN8STD,CWOS200,N
FSHN8STD,CWOS300,N
FSHN8STD,CWOS400,Y
FSHN8STD,CWOS500,N
FSHN8STD,CWOS600,N
FSHN13STD,CWOS400,N
FSHN13STD,CWOS500,N
FSHN13STD,CWOS600,Y
FSHN13STD,CWOS700,N
FSHN13STD,CWOS800,N
SEASBSCSTD,CWOS600,N
SEASBSCSTD,CWOS700,N
SEASBSCSTD,CWOS800,Y
SEASBSCSTD,CWOS900,N
SEASBSCSTD,CWOS1000,N
BSCSTD,CWOS800,N
BSCSTD,CWOS900,N
BSCSTD,CWOS1000,Y
BSCSTD,CWOS1100,N
BSCSTD,CWOS1200,N
BSCHIGH,CWOS1000,N
BSCHIGH,CWOS1100,N
BSCHIGH,CWOS1200,Y
BSCHIGH,CWOS1300,N
BSCHIGH,CWOS1400,N